Wave Flux Noise
0.45 0.904 0.042
0.5 0.953 0.021
0.55 1.0 0.0
0.6 1.042 0.017
0.65 1.0859999999999999 0.034
0.7 1.129 0.05
0.75 1.169 0.062
0.8 1.197 0.07400000000000001
0.85 1.234 0.094
0.9 1.2790000000000001 0.106
0.95 1.327 0.12
1.0 1.376 0.135
1.05 1.42 0.147
1.1 1.463 0.159
1.15 1.504 0.171
1.2 1.544 0.182
1.25 1.579 0.19399999999999998
1.3 1.611 0.207
1.35 1.6440000000000001 0.21899999999999997
1.4 1.675 0.22899999999999998
1.45 1.7069999999999999 0.242
1.5 1.734 0.252
1.55 1.7619999999999998 0.263
1.6 1.7890000000000001 0.273
1.65 1.8159999999999998 0.287
1.7 1.838 0.299
1.75 1.861 0.309
1.8 1.883 0.32
1.85 1.9069999999999998 0.33
1.9 1.929 0.336
1.95 1.95 0.344
2.0 1.9680000000000002 0.35
2.05 1.9869999999999999 0.35700000000000004
2.1 2.0069999999999997 0.364
2.15 2.0269999999999997 0.37200000000000005
2.2 2.044 0.379
2.25 2.062 0.385
2.3 2.0780000000000003 0.39
2.35 2.093 0.39399999999999996
2.4 2.109 0.401
2.45 2.122 0.41
