Wave,Flux,Noise
0.45,0.938,0.021
0.5,0.971,0.01
0.55,1.0,0.0
0.6,1.023,0.012
0.65,1.045,0.021
0.7,1.064,0.027
0.75,1.076,0.03
0.8,1.078,0.031
0.85,1.077,0.035
0.9,1.083,0.039
0.95,1.098,0.041
1.0,1.116,0.045
1.05,1.132,0.049
1.1,1.147,0.053
1.15,1.164,0.057
1.2,1.18,0.061
1.25,1.191,0.064
1.3,1.202,0.067
1.35,1.212,0.071
1.4,1.222,0.074
1.45,1.233,0.077
1.5,1.24,0.08
1.55,1.248,0.084
1.6,1.255,0.086
1.65,1.261,0.089
1.7,1.265,0.091
1.75,1.271,0.095
1.8,1.277,0.098
1.85,1.284,0.102
1.9,1.291,0.105
1.95,1.298,0.109
2.0,1.304,0.11
2.05,1.311,0.112
2.1,1.32,0.115
2.15,1.327,0.118
2.2,1.332,0.121
2.25,1.339,0.125
2.3,1.345,0.129
2.35,1.351,0.132
2.4,1.356,0.133
2.45,1.362,0.134
